no_emissor_padronizado,no_emissor_fitch,no_emissor_moodys,no_emissor_standard_and_poors,no_emissor_austin,no_emissor_liberum,cnpj_emissor
FUNDO INVESTIMENTOS DIREITOS CREDITORIOS MULTISETORIAL HOPE LP,,,,,FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS MULTISETORIAL HOPE LP,
FUNDO INVESTIMENTOS DIREITOS CREDITORIOS MULTISSETORIAL ONE7 LP,,,,,Fundo de Investimentos em Direitos Creditórios Multissetorial ONE7 LP,
FUNDO INVESTIMENTOS DIREITOS CREDITORIOS PREMIUM SOLIS,,,,,Fundo de Investimentos em Direitos Creditórios Premium Solis,
FURNAS,,,Furnas - Centrais Eletricas S.A.,,,23274194000119
G5 ALLOCATION FIC FIDC,,,,G5 ALLOCATION FIC FIDC - ÚNICA,,
G5 BR INFRA FIDC NP,,,,G5 BR INFRA FIDC NP - SUBORDINADAS JÚNIOR,,
G5 CREDIJUS FIDC NP,,,,G5 CREDIJUS FIDC NP - SUBORDINADAS,,
G5 MIX FIDC NP,,,,G5 MIX FIDC NP - ÚNICA,,
GAIA FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,GAIA Fundo de Investimento em Direitos Creditorios Não Padronizados,
GAIA SECURITIZADORA,,Gaia Securitizadora S.A. - 3ª Série da 1ª Emissão de CRIs (Risco Banco do Brasil),,GAIA SECURITIZADORA - RISCO ROJEMAC (121ª SÉRIE - 4ª EMISSÃO),,07.587.384/0001-30
GALAPAGOS ARQUIPELAGO FUNDO INVESTIMENTO DIREITOS CREDITORIOS NP,,,,,GALAPAGOS ARQUIPÉLAGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP,
GALAPAGOS ATLAS FIDC,,,,GALÁPAGOS ATLAS FIDC - SENIORES ÚNICA,,
GALAPAGOS WM FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,GALAPAGOS WM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
GARANTIA BANCO FIDC,,,,GARANTIA BANCO FIDC - SUBORDINADAS JÚNIOR,,
GARANTIA BANCO FIDC MULTISSETORIAL,,,,,GARANTIA BANCO FIDC MULTISSETORIAL,
GARSON BR FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,GARSON BR FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,
GARSON CARD FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,GARSON CARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,
GARSON FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,Garson Fundo de Investimento em Direitos Creditórios,
GAS ALAGOAS,,Gás de Alagoas S.A. - ALGÁS,,,,69983484000132
GAVEA SUL FIDC,,,,GÁVEA SUL FIDC - SUBORDINADAS MEZANINO II,,
GBS PARTICIPACOES,GBS Participacoes S.A.,,,,,
GBX PRIME I FIDC,,,,GBX PRIME I FIDC - SUBORDINADAS MEZANINO I,,
GDPAR SN PARTICIPACOES PROJETOS SOLARES,Gdpar Sn Participacoes Em Projetos Solares S.A.,,,,,
GDPAR SR PARTICIPACOES PROJETOS SOLARES,GDPAR SR Participacoes em Projetos Solares S.A.,,,,,
GDS SUBHOLDING,GDS Subholding S.A.,,,,,
GENERAL SHOPPING FINANCE,General Shopping Finance Limited (GSF),,,,,
GENERAL SHOPPING INVESTMENT,General Shopping Investment Limited,,,,,
GENERAL SHOPPING OUTLETS,General Shopping e Outlets do Brasil S.A.,,,,,08764621000153
GENESIS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,Genesis Fundo de Investimento em Direitos Creditórios,
GENESIS FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,Genesis Fundo de Investimento em Direitos Creditórios Não  Padronizados,
GENIAL GESTAO,,,,GENIAL GESTÃO LTDA.,,22119959000183
GENTE BULLA I FIDC,,,,GENTE DO BULLA I FIDC - ÚNICA,,
GEOMETRICA PAR INVESTIMENTOS,Geometrica Par Investimentos S.A.,,,,,
GERADORA EOLICA BONS VENTOS SERRA 2,,Geradora Eólica Bons Ventos da Serra 2 S.A.,,,,19953139000188
GERADORA EOLICA BONS VENTOS SERRA I,,,Geradora Eolica Bons Ventos da Serra I S.A.,,,14080223000110
GERDAU,Gerdau S.A.,,Gerdau S.A.,,,33611500000119
GESTOR TRUST FIDC,,,,GESTOR TRUST FIDC - SUBORDINADAS MEZANINO I,,
GFM FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTICREDITO,,,,,GFM FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTICREDITO,
GGR PRIME I FIDC,,,,GGR PRIME I FIDC - ÚNICA,,
GIGA MAIS FIBRA TELECOMUNICACOES,Giga Mais Fibra Telecomunicacoes S.A.,,Giga Mais Fibra Telecomunicacoes S.A.,,,07714104000107
GII GESTAO INTELIGENTE FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,GII Gestão Inteligente Fundo de Investimento em Direitos Creditórios,
GIROFIDC FIDC,,,,GIROFIDC FIDC - SUBORDINADAS JÚNIOR,,
GJA INDUSTRIAS,,GJA Industrias S.A.,GJA Industrias S.A.,,,24682682000128
GLOBAL RETAIL FIDC MULTISSETORIAL,,,,GLOBAL RETAIL FIDC MULTISSETORIAL - SUBORDINADAS JÚNIOR,,
GLOBAL SUPPLIERS FIDC MULTISSETORIAL,,,,GLOBAL SUPPLIERS FIDC MULTISSETORIAL - SENIORES 1ª SÉRIE,,
GLOBALCASH FIDC,,,,GLOBALCASH FIDC - SENIORES 3ª SÉRIE,,
GLOBO COMUNICACAO PARTICIPACOES,Globo Comunicacao e Participacoes S.A.,,Globo Comunicacao e Participacoes S.A.,,,27865757000102
GOAL CONSIGNADO FIDC,,,,GOAL CONSIGNADO FIDC  - ÚNICA,,
GOIAS TRANSMISSAO,,Goiás Transmissão S.A.,,,,11708279000189
GOL LINHAS AEREAS INTELIGENTES,GOL Linhas Aereas Inteligentes S.A.,,,,,06164253000187
GOLDEN GATE BRIDGE FIDC,,,,GOLDEN GATE BRIDGE FIDC - SENIORES ÚNICA,,
GOLDMAN SACHS BANCO MULTIPLO,Goldman Sachs do Brasil Banco Multiplo S.A.,,,,,04332281000130
GONCALVES TORTOLA,,,Goncalves & Tortola S.A.,,,85070068000108
GOPLAN FIDC,,,,GOPLAN FIDC - SUBORDINADAS MEZANINO,,
GOVERNMENT SENIOR DEBT FIDC,,,,,Brasil Government Senior Debt FIDC-NP,
GPR FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,GPR FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
GRANCRED FIDC,,,,GRANCRED FIDC - SUBORDINADAS,,
GRANCRED SP FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,GRANCRED SP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,
GRANDE SERTAO I TRANSMISSORA ENERGIA,,Grande Sertão I Transmissora De Energia S.A.,,,,
GRANDE SERTAO III TRANSMISSORA ENERGIA,,Grande Sertão III Transmissora De Energia S.A.,,,,48400777000170
GREEN FIDC SOLAR GD II,,,,GREEN FIDC SOLAR GD II - 1ª / 2ª / 3ª / 4ª - SENIORES ÚNICA,,
GREEN SOLFACIL II FIDC,,,,GREEN SOLFÁCIL II FIDC - MEZANINO CLASSE B,,
GRIF CREDITO PULVERIZADO FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,GRIF CRÉDITO PULVERIZADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
GRIF CREDITO PULVERIZADO FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,GRIF CRÉDITO PULVERIZADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,
GRIF GALIBIER CREDITO CONSIGNADO FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,GRIF GALIBIER CRÉDITO CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
GRIFO FUNDO INVESTIMENTO DIREITOS CREDITORIOS PADRONIZADOS MULTISSETORIAL,,,,,GRIFO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADOS MULTISSETORIAL,
GRU FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,GRU FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
GRUPO FARTURA HORTIFRUT,Grupo Fartura de Hortifrut S.A.,,,,,04972092000122
GRUPO SALTA EDUCACAO,Grupo Salta Educacao S/A,,,,,17765891000170
GRUPO SBF,Grupo SBF S.A.,,,,,13217485000111
GSH PARTICIPACOES,GSH Corp Participacoes S.A.,,,,,08397078000101
GUARA NORTE R.L.,Guara Norte S.a r.l.,,,,,35856223000130
GUARACIABA TRANSMISSORA ENERGIA,Guaraciaba Transmissora de Energia (TP Sul) S.A.,,,,,
GUARARAPES CONFECCOES,Guararapes Confeccoes S.A.,,,,,08402943000152
GUARDIAN FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,GUARDIAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
GUARDIAN MULTI CONSIGNADO I FIDC,,,,GUARDIAN MULTI CONSIGNADO I FIDC - SUBORDINADAS JÚNIOR,,
GUARDIAN MULTI CONSIGNADO II FIDC,,,,GUARDIAN MULTI CONSIGNADO II FIDC - SUBORDINADAS MEZANINO,,
GUARDIAN MULTI CONSIGNADO VII FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,Guardian Multi Consignado VII Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,,,,54.065.359/0001-76
GUEPARDO INVESTIMENTOS,,,,GUEPARDO INVESTIMENTOS LTDA.,,07078144000100
GUSAP III LP,GUSAP III LP,,,,,
GVN FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,GVN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
GWM FIDC MULTISSETORIAL,,,,GWM FIDC MULTISSETORIAL - MEZANINO CLASSE A,,
GY ENERGY HOLDING III,Gy Energy Holding III S.A.,,,,,
GYM BANK FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,GYM BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
HABITASEC,,,,HABITASEC - RISCO BRC EMPREENDIMENTOS (75ª SÉRIE - 1ª EMISSÃO),,
HABITASEC 2022,"Habitasec 2022-17-1,2 (Lar)",,,,,
HABITASEC SECURITIZADORA,,,Habitasec Securitizadora S.A.,HABITASEC SECURITIZADORA S/A - RISCO SPE INFINITA LIFE.CO  (SÉRIE A DEFINIR),Habitasec Securitizadora S.A,09304427000158
HAITONG BANCO INVESTIMENTO,,,Haitong Banco de Investimento do Brasil S.A.,,,34111187000112
HAMPTON FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,HAMPTON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
HAPVIDA PARTICIPACOES INVESTIMENTOS,Hapvida Participacoes e Investimentos S.A.,,,,,05197443000138
HARPIA FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,HARPIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS – RESPONSABILIDADE LIMITADA,
HARPIA FUNDO INVESTIMENTOS DIREITOS CREDITORIOS,,,,,Harpia Fundo de Investimentos em Direitos Creditórios,
HAVAN,Havan S.A.,,,,,
HAWK FIDC NP,,,,HAWK FIDC NP - SUBORDINADAS JÚNIOR,,
HAZ FIC FIDC,,,,HAZ FIC FIDC - ÚNICA,,
HDI GLOBAL SEGUROS,,HDI Global Seguros S.A.,,,,18096627000153
HDLG FIDC,,,,HDLG FIDC - SENIORES 1ª SÉRIE,,
HEDGE CREDITO AGRO FIAGRO DC,,,,HEDGE CRÉDITO AGRO FIAGRO DC - SENIORES 4ª SÉRIE,,
HEDGE SHOPPING FUNDO INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,,,Hedge Brasil Shopping Fundo De Investimento Imobiliario De Responsabilidade Limitada,,,08431747000106
HELIO VALGAS SOLAR PARTICIPACOES,,Helio Valgas Solar Participações S.A.,,,,32431519000110
HERCULES FIDC,,,,HÉRCULES FIDC - SUBORDINADAS JÚNIOR,,
HIDRO FORTE ADMINISTRACAO OPERACAO,,Hidro Forte Administração e Operação S.A.,,,,04911091000178
HIDROVIAS,Hidrovias do Brasil S.A.,Hidrovias do Brasil S.A.,,,,12648327000153
HIGH YIELD II FIDC CAP,,,,HIGH YIELD II DO FIDC CAP - SUBORDINADAS MEZANINO,,
HIGH YIELD YALEEH FIDC,,,,HIGH YIELD DO YALEEH FIDC - SUBORDINADAS MEZANINO,,
HIGHLINE II INFRAESTRUTURA TELECOMUNICACOES,Highline do Brasil II Infraestrutura de Telecomunicacoes S.A.,,,,,27902165000296
HIX INVESTIMENTOS,,HIX Investimentos Ltda,,HIX INVESTIMENTOS,,14205023000147
HOD FIC FIDC,,,,HOD FIC FIDC - SUBORDINADAS MEZANINO I,,
HOLDING ARAGUAIA,,,Holding do Araguaia S.A.,,,18903785000178
HOPE CONSIGNADO I RESPONSABILIDADE LIMITADA FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,HOPE CONSIGNADO I DE RESPONSABILIDADE LIMITADA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
HOPE I FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSEGMENTOS,,,,,HOPE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS,
HOSPITAL ANCHIETA,,Hospital Anchieta S.A.,,,,02560878000107
HOSPITAL CARE CALEDONIA,,Hospital Care Caledonia S.A.,,,,25249439000183
HOSPITAL ESPERANCA,Hospital Esperanca S.A.,,,,,
HOSPITAL MATER DEI,Hospital Mater Dei SA,Hospital Mater Dei S.A.,,,,16676520000159
HOSPITAL VERA CRUZ,,Hospital Vera Cruz S.A.,,,,07309998000150
HRZ TRANSMISSAO PARTICIPACOES,HRZ Transmissao e Participacoes S.A,,,,,
HSI GESTORA ATIVOS FINANCEIROS,,HSI Gestora de Ativos Financeiros Ltda.,,,,42238039000191
HSI GESTORA CREDITO PRIVADO,,HSI Gestora de Credito Privado Ltda.,,,,42237691000191
HSI GESTORA FUNDOS IMOBILIARIOS,,HSI Gestora de Fundos Imobiliários Ltda.,,,,03539353000152
HSI GESTORA REAL ESTATE PRIVATE EQUITY,,HSI Gestora de Real Estate Private Equity Ltda.,,,,42312440000124
HT3 FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,HT3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
HT3 FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,HT3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,
HUBCRED FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,HUBCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
HYPERA,,Hypera S.A.,Hypera S.A.,,,02932074000191
IB SIGMA FIDC,,,,IB SIGMA FIDC - SUBORDINADAS JÚNIOR,,
IBIUNA ACOES GESTAO RECURSOS,,Ibiuna Açoes Gestão de Recursos Ltda.,,,,18506057000122
IBIUNA CREDITO GESTAO RECURSOS,,Ibiuna Credito Gestão de Recursos Ltda.,,,,19493000000107
IBIUNA MACRO GESTAO RECURSOS,,Ibiuna Macro Gestão de Recursos Ltda.,,,,11918575000104
IC PRECATORIOS ESTADUAIS FIDC NP,,,,IC PRECATÓRIOS ESTADUAIS FIDC NP - ÚNICA,,
ICATU VANGUARDA GESTAO RECURSOS,,Icatu Vanguarda Gestão de Recursos Ltda.,,,,68622174000120
ICBC BANCO MULTIPLO,,ICBC do Brasil Banco Múltiplo S.A.,,,,17453575000162
ICRED CHOPIN INSS FIDC,iCred Chopin INSS FIDC,,,,,
ICRED FGTS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,iCred FGTS Fundo de Investimento em Direitos Creditorios,,,,,54518191000107
ICRED INSS FIDC RL,iCred INSS FIDC RL,,,,,
ICRED INSS III FIDC,iCred INSS III FIDC,,,,,
ICRED SOLUCOES FINANCEIRAS,Icred Solucoes Financeiras S.A,,,,,
IF FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,IF FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,36643420000133
IFOOD PAGO CREDITO I FUNDO INVESTIMENTO DIREITOS CREDITORIOS FINANCEIRO RESPONSABILIDADE LIMITADA,,Ifood Pago Crédito I Fundo De Investimento Em Direitos Creditórios Financeiro De Responsabilidade Limitada,,,,
IGARAPAVA SANEAMENTO,,Igarapava Saneamento S.A.,,,,
IGNIS CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,IGNIS CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,47847076000110
IGUA RIO JANEIRO,,,Igua Rio de Janeiro S.A.,,,42353180000135
IGUA SANEAMENTO,Igua Saneamento S.A.,,Igua Saneamento S.A.,,,08159965000133
IGUA SERGIPE,,Iguá Sergipe S.A.,Igua Sergipe S.A.,,,58070452000120
IGUATEMI,Iguatemi S.A.,,,,,60543816000193
IGUATEMI EMPRESA SHOPPING CENTERS,Iguatemi Empresa de Shopping Centers S.A.,,,,,51218147000193
ILLUMINATI FIDC,,,,ILLUMINATI FIDC - ÚNICA,,
IMPAR SERVICOS HOSPITALARES,Impar Servicos Hospitalares S.A.,,,,,
IN,,In - Haus Industrial e Serviços de Logística S.A.,,,,05208211001703
INDIE CAPITAL INVESTIMENTOS,,Indie Capital Investimentos Ltda.,,,,14359791000155
INDUSTRIA Q1 FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,INDÚSTRIA Q1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
INFINITY SUL FIDC,,,,INFINITY SUL FIDC - SUBORDINADAS JÚNIOR,,
INFINITYCRED FIDC,,,,INFINITYCRED FIDC - SUBORDINADAS,,
INFRACOMMERCE FIDC,,,,INFRACOMMERCE FIDC - SUBORDINADAS JÚNIOR,,
INOVA CREDTECH III FIDC SEGMENTO MULTICARTEIRA RESPONSABILIDADE LIMITADA,,,,,INOVA CREDTECH III FIDC SEGMENTO MULTICARTEIRA DE RESPONSABILIDADE LIMITADA,52340225000190
INPASA AGROINDUSTRIAL,,Inpasa Agroindustrial S.A.,,,,29316596000115
INSPIRALI EDUCACAO,,Inspirali Educação S.A.,,,,35822503000127
INTEGRACAO TRANSMISSORA ENERGIA,,,Integracao Transmissora de Energia S.A.,,,07799081000180
INTEGRAL INVESTIMENTOS,,Integral Investimentos LTDA,,,,06576569000186
INTELBRAS INDUSTRIA TELECOMUNICACAO ELETRONICA BRASILEIRA,Intelbras S.A. Industria de Telecomunicacao Eletronica Brasileira,,,,,82901000000127
INTER ASSET GESTAO RECURSOS,,Inter Asset Gestao De Recursos Ltda,,,,05585083000141
INTER SIMPLES FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,INTER SIMPLES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL – RESPONSABILIDADE LIMITADA,
INTERCASH FIDC,,,,INTERCASH FIDC - SUBORDINADAS MEZANINO,,
INTERCEMENT PARTICIPACOES,InterCement Participacoes S.A. - Em Recuperacao Judicial,,,,,10456140000122
INTERNATIONAL MEAL COMPANY ALIMENTACAO,,International Meal Company Alimentação S.A. (Grupo IMC),,,,17314329000120
INTERSECTOR CREDITO ESTUDANTIL FIDC,,,,INTERSECTOR CRÉDITO ESTUDANTIL FIDC - SENIORES ÚNICA,,
INTERSECTOR FIDC,,,,INTERSECTOR FIDC - SENIORES 1ª SÉRIE,,
INTESA SANPAOLO,Intesa Sanpaolo Brasil S.A. - Banco Multiplo,,,,,55230916000120
INTRA SOLIDEZ FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,Intra Solidez Fundo de Investimento em Direitos Creditorios,,,
INTRABANK FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,INTRABANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,
INTRABANK FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,INTRABANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,35162655000140
INTRABANK FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE ILIMITADA,,,,,INTRABANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE ILIMITADA,35162655000140
INVESTBRA FIDC,,,,INVESTBRA FIDC - SUBORDINADAS JÚNIOR,,
INVESTCAMP FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,INVESTCAMP Fundo de Investimento em Direitos Creditorios,25695170000169
INVESTCON FIDC,,,,INVESTCON FIDC - SUBORDINADAS JÚNIOR,,
INVESTCON FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,INVESTCON FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,22406927000169
INVESTCRED FUNDO INVESTIMENTO DIREITOS CREDITORIOS,Investcred Fundo de Investimento em Direitos Creditorios,,,,,
INVESTIMENTOS PARTICIPACOES INFRAESTRUTURA,,,Investimentos e Participacoes em Infraestrutura S.A. - Invepar,,,03758318000124
INVESTOR FIDC,,,,INVESTOR FIDC - SUBORDINADAS MEZANINO,,
INVISTA ATIVOS ALTERNATIVOS I FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,INVISTA ATIVOS ALTERNATIVOS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,31933790000191
INVISTA I FIC FIDC MULTISSETORIAL NAO PADRONIZADO,,,,,INVISTA I FIC FIDC MULTISSETORIAL NAO PADRONIZADO,
INVISTA III FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,INVISTA III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS – RESPONSABILIDADE LIMITADA,26489103000150
INVISTA III FUNDO INVESTIMENTOS DIREITOS CREDITORIOS NAO PADRONIZADO,,,,,INVISTA III Fundo de Investimentos em Direitos Creditorios Não Padronizado,
INX SSPI BONDS FIDC NP,,,,INX SSPI BONDS FIDC NP - SENIORES 1ª SÉRIE,,
IOCHPE,,,Iochpe-Maxion S.A.,,,61156113003190
IORQ FREDERIC FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,IORQ Frederic Fundo de Investimento em Direitos Creditórios – Responsabilidade Limitada,,,,63032712000102
IOX PME FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,IOX PME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
IP SUL CONCESSIONARIA ILUMINACAO PUBLICA,IP Sul Concessionaria De Iluminacao Publica S.A.,,,,,
IPIRANGA PRODUTOS PETROLEO,,Ipiranga Produtos de Petróleo S.A.,,,,33337122000127
IRANI PAPEL EMBALAGEM,,Irani Papel e Embalagem S.A.,Irani Papel e Embalagem S.A.,,,92791243000103
IRB,,,IRB-Brasil Resseguros S.A.,,,33376989000191
IRLA FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,IRLA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,31772126000108
IRON CAPITAL CONSIGNADO FEDERAL,,,,IRON CAPITAL CONSIGNADO FEDERAL - SUBORDINADAS,,37123017000146
IRON CAPITAL CONSIGNADO FIDC,,,,IRON CAPITAL CONSIGNADO FIDC - SUBORDINADAS,,
IRON CAPITAL II FIDC,,,,IRON CAPITAL II FIDC - SUBORDINADAS,,
IS GREEN SOLFACIL III FIDC,IS Green Solfacil III FIDC,,,,,
IS SOL AGORA GREEN II ESG FIDC SEGMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,,IS Sol Agora Green II ESG FIDC Segmento Financeiro de Responsabilidade Limitada,,,,53164652000128
ISA ENERGIA,Isa Energia Brasil S.A.,,,,,02998611000104
ISAAC FIDC,,,,ISAAC FIDC - SENIORES 1ª SÉRIE,,
ISAAC FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,Isaac Fundo de Investimento em Direitos Creditórios,,,,44516049000177
ISEC,,,,ISEC - LIFE PARK (NEX GROUP) (98ª SÉRIE - 4ª EMISSÃO),,04243304000130
ITAPEBI GERACAO ENERGIA,,,Itapebi Geracao de Energia S.A.,,,02397080000196
ITAPOA TERMINAIS PORTUARIOS,,,Itapoa Terminais Portuarios S.A.,,,01317277000105
ITAREMA GERACAO ENERGIA,Itarema Geracao de Energia S.A.,,,,,
ITAU ASSET MANAGEMENT,,,Itau Asset Management,,,00639219000135
ITAU FIC FIDC INFRAESTRUTURA,,,,ITAÚ FIC FIDC INFRAESTRUTURA - ÚNICA,,67979120000153
ITAU SEGUROS,,Itau Seguros S.A.,,,,61557039000107
ITAU UNIBANCO,Itau Unibanco S.A.,Itaú Unibanco S.A.,,,,60701190000104
ITAU UNIBANCO HOLDING,Itau Unibanco Holding S.A.,Itaú Unibanco Holding S.A.,,,,60872504000123
ITAUSA,Itausa S.A.,Itaúsa S.A.,Itausa S.A.,,,61532644000115
ITR COMERCIO PNEUS PECAS,ITR Comercio de Pneus e Pecas S.A.,,,,,
ITU FIC FIDC,Itu FIC FIDC,,,,,
IYAMI FIDC,,,,IYAMI FIDC - SUBORDINADAS MEZANINO I,,
J F,J&F S.A.,,,,,
J. MACEDO,J. Macedo S.A.,,,,,14998371000119
J17 FGTS FUNDO INVESTIMENTO DIREITOS CREDITORIOS FINANCEIRO,,J17 FGTS Fundo de Investimento em Direitos Creditórios Financeiro – Responsabilidade Limitada,,,,54252144000164
JALLES MACHADO,,,Jalles Machado S.A.,,,02635522000195
JANAUBA TRANSMISSORA ENERGIA ELETRICA,,Janaúba Transmissora de Energia Elétrica S.A.,,,,26617923000180
JANUARIO NAPOLI GERACAO ENERGIA,,Januario de Napoli Geracao de Energia S.A.,,,,27816584000124
JBCS II,,,,JBCS II - VAREJO FIDC - SENIORES ÚNICA,,
JBS,JBS S.A.,JBS S.A.,JBS S.A.,,,02916265000160
JBS N.V.,JBS N.V.,,,,,
JC 4870 FUNDO INVESTIMENTO DIREITOS CREDITORIO,,,,,JC 4870 Fundo de Investimento em Direitos Creditório - Não Padronizado,
JC 4870 FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,JC 4870 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADO,
JC 4870 II FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,JC 4870 II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,
JC 4870 V FIDC NP,,,,,JC 4870 V FIDC NP,
JC 4870 V FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,JC 4870 V FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS - FIDC-NP,
JC 4870 VI FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS FIDC,,,,,JC 4870 VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS FIDC-NP,
JC BG FICFIDC NP,,,,,JC BG FICFIDC NP,
