no_emissor_padronizado,no_emissor_fitch,no_emissor_moodys,no_emissor_standard_and_poors,no_emissor_austin,no_emissor_liberum,cnpj_emissor
ALLUGG FIDC,,,,ALLUGG FIDC - SUBORDINADAS MEZANINO,,
ALMEIDA JUNIOR SHOPPING CENTERS,Almeida Junior Shopping Centers S.A.,,,,,82120676000183
ALSOL ENERGIAS RENOVAVEIS,Alsol Energias Renovaveis S.A.,,,,,15483161000150
ALTHAIA INDUSTRIA FARMACEUTICA,Althaia S.A. Industria Farmaceutica,,,,,48344725000719
ALUBAR METAIS CABOS,Alubar Metais e Cabos S.A.,,,,,08262121000113
ALUME FIDC,,,,ALUME FIDC - SUBORDINADAS,,
ALUME FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,ALUME FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,44674270000153
ALUPAR INVESTIMENTO,Alupar Investimento S.A.,,,,,08364948000138
ALVORADA I FIDC,,,,ALVORADA I FIDC - SUBORDINADAS JÚNIOR,,
AMAZONAS ENERGIA FIDC,,,,AMAZONAS ENERGIA FIDC - SUBORDINADAS JÚNIOR,,
AMAZONAS FIDC,,,,AMAZONAS FIDC - SUBORDINADAS MEZANINO V,,
AMAZONIA LEGAL IOX FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,Amazonia Legal IOX Fundo de Investimento em Direitos Creditorios,,,64202238000182
AMBEV,,AMBEV S.A.,Ambev S.A.,,,07526557000100
AMBIENTAL CEARA 1 SPE,,,Ambiental Ceara 1 SPE S.A.,,,48569940000122
AMBIENTAL CEARA 2 SPE,,,Ambiental Ceara 2 SPE S.A.,,,48569926000129
AMBIPAR LUX R.L.,Ambipar Lux S.a.r.l.,,,,,
AMBIPAR PARTICIPACOES EMPREENDIMENTOS,Ambipar Participacoes e Empreendimentos S.A.,,,,,12648266000124
AMPLA ENERGIA SERVICOS,Ampla Energia e Servicos S.A.,,,,,33050071000158
ANACLETO FIDC,,,,ANACLETO FIDC  - ÚNICA,,
ANDALUZ FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,ANDALUZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42299269000160
ANDRE MAGGI PARTICIPACOES,Andre Maggi Participacoes S.A.,,,,,04786144000176
ANGA SABEMI VIII.I FIC FIDC,,,,ANGÁ SABEMI VIII.I FIC FIDC - SENIORES 1ª SÉRIE,,
ANGELINA COLOMBO PARTICIPACOES,,,Angelina Colombo Participacoes S.A.,,,35881121000174
ANIMA HOLDING,Anima Holding S.A.,Ânima Holding S.A.,,,,09288252000132
ANTECIPA FIDC NP MULTISSETORIAL,,,,ANTECIPA FIDC NP MULTISSETORIAL - SUBORDINADAS JÚNIOR,,
ANTECIPE FIDC MULTISSETORIAL,,,,ANTECIPE FIDC MULTISSETORIAL - SUBORDINADAS JÚNIOR,,
APIUNA PARTICIPACOES,Apiuna Participacoes S/A,,,,,49272860000173
APOLLO 17 PARTICIPACOES,Apollo 17 Participacoes S.A,,,,,37606330000135
APPALOOSA FIDC,,,,APPALOOSA FIDC - SUBORDINADAS JÚNIOR,,
