dt_captura,no_emissor,link,no_tipo_rating,de_rating_br,de_rating_cp,de_rating_lp,dt_acao_rating,de_acao_rating,de_outlook,link_relatorio
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brB-,,brB-,2020-04-02,Observação Negativa,,https://www.austin.com.br/Relatorio/Rating/Activa_FIDC/9711
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brB-,,brB-,2020-02-11,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brB-,,brB-,2019-11-13,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brB-,,brB-,2019-08-15,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brB-,,brB-,2019-05-03,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brB-,,brB-,2019-01-18,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brB-,,brB-,2018-10-30,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brB-,,brB-,2018-07-30,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brB-,,brB-,2018-05-11,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2017-11-14,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2017-08-09,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2017-05-12,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2017-02-15,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2016-12-05,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2016-08-05,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2016-05-13,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2016-02-15,Observação Negativa,,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2015-11-12,Observação Negativa,,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2015-08-17,Observação Negativa,,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2015-05-15,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2015-02-11,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2014-11-12,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2014-08-15,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2014-04-28,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2013-11-22,Confirmação,Estável,
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2013-06-28,Rating Inicial,Estável,
2026-09-25,AFINITTY FIC FIDC - SUBORDINADAS MEZANINO III,https://www.austin.com.br/Historico-Rating/4526/Afinitty_FIC_FIDC_-_Subordinadas_Mezanino_III_,FIDCs,brB-,,brB-,2024-05-15,Rating Inicial,Estável,https://www.austin.com.br/Relatorio/Rating/Afinitty_FIC_FIDC/10863
2026-09-25,AFINITTY FIC FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/4529/Afinitty_FIC_FIDC_-_Subordinadas_Júnior_,FIDCs,brCC,,brCC,2024-05-15,Confirmação,Estável,https://www.austin.com.br/Relatorio/Rating/Afinitty_FIC_FIDC/10866
2026-09-25,AFINITTY FIC FIDC - MEZANINO CLASSE A,https://www.austin.com.br/Historico-Rating/4528/Afinitty_FIC_FIDC_-_Mezanino_Classe_A_,FIDCs,brB-,,brB-,2024-05-15,Confirmação,Estável,https://www.austin.com.br/Relatorio/Rating/Afinitty_FIC_FIDC/10865
2026-09-25,AFINITTY FIC FIDC - SENIORES 1ª SÉRIE,https://www.austin.com.br/Historico-Rating/4527/Afinitty_FIC_FIDC_-_Seniores_1ª_série,FIDCs,brB+,,brB+,2024-05-15,Confirmação,Estável,https://www.austin.com.br/Relatorio/Rating/Afinitty_FIC_FIDC/10864
2026-09-25,AFINITTY FIC FIDC - SUBORDINADAS MEZANINO II,https://www.austin.com.br/Historico-Rating/4457/Afinitty_FIC_FIDC_-_Subordinadas_Mezanino_II_,FIDCs,brB-,,brB-,2024-05-15,Confirmação,Estável,
2026-09-25,AFINITTY FIC FIDC - SUBORDINADAS MEZANINO II,https://www.austin.com.br/Historico-Rating/4457/Afinitty_FIC_FIDC_-_Subordinadas_Mezanino_II_,FIDCs,brB-,,brB-,2024-02-07,Rating Inicial,Estável,
2026-09-25,AFINITTY FIC FIDC - SENIORES 2ª SÉRIE,https://www.austin.com.br/Historico-Rating/4456/Afinitty_FIC_FIDC_-_Seniores_2ª_série,FIDCs,brB+,,brB+,2024-05-15,Confirmação,Estável,
2026-09-25,AFINITTY FIC FIDC - SENIORES 2ª SÉRIE,https://www.austin.com.br/Historico-Rating/4456/Afinitty_FIC_FIDC_-_Seniores_2ª_série,FIDCs,brB+,,brB+,2024-02-07,Rating Inicial,Estável,
2026-09-25,AFINITTY FIC FIDC - SENIORES 3ª SÉRIE,https://www.austin.com.br/Historico-Rating/4525/Afinitty_FIC_FIDC_-_Seniores_3ª_série,FIDCs,brB+,,brB+,2024-05-15,Rating Inicial,Estável,https://www.austin.com.br/Relatorio/Rating/Afinitty_FIC_FIDC/10862
2026-09-25,AGROCRED IB I FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/3943/Agrocred_IB_I_FIDC_-_Subordinadas_Júnior_,FIDCs,brB+,,brB+,2022-08-22,Confirmação,Estável,
2026-09-25,AGROCRED IB I FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/3943/Agrocred_IB_I_FIDC_-_Subordinadas_Júnior_,FIDCs,brB+,,brB+,2022-06-10,Confirmação,Estável,https://www.austin.com.br/Relatorio/Rating/Agrocred_IB_I_FIDC/10403
2026-09-25,AGROCRED IB I FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/3943/Agrocred_IB_I_FIDC_-_Subordinadas_Júnior_,FIDCs,brB+,,brB+,2021-12-10,Rating Inicial,Estável,
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/2365/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Seniores_Única,FIDCs,brCC,,brCC,2022-09-15,Confirmação,Estável,
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/2365/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Seniores_Única,FIDCs,brBBB+,,brBBB+,2019-08-06,Encerramento,,https://www.austin.com.br/Relatorio/Rating/Afinitty_MF_FIDC_(Eletro_FIDC)/9135
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/2365/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Seniores_Única,FIDCs,brBBB+,,brBBB+,2019-05-20,Confirmação,Estável,
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/2365/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Seniores_Única,FIDCs,brBBB+,,brBBB+,2019-02-15,Confirmação,Estável,
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/2365/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Seniores_Única,FIDCs,brBBB+,,brBBB+,2018-11-13,Confirmação,Estável,
