dt_captura,no_emissor,no_setor,link
2026-09-25,AQUIRAZ FIC FIDC - SUBORDINADAS MEZANINO I,FIDCs,https://www.austin.com.br/Historico-Rating/2639/Aquiraz_FIC_FIDC_-_Subordinadas_Mezanino_I_
2026-09-25,AQUIRAZ FIC FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/2638/Aquiraz_FIC_FIDC_-_Subordinadas_Júnior_
2026-09-25,AQUIRAZ FIC FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/2607/Aquiraz_FIC_FIDC_-_Seniores_Única
2026-09-25,ÁREA DE GESTÃO DE RECURSOS DE TERCEIROS DA BANESTES DTVM,Gestão,https://www.austin.com.br/Historico-Rating/5018/Área_de_Gestão_de_Recursos_de_Terceiros_da_Banestes_DTVM
2026-09-25,ARES FIDC NP - SUBORDINADAS,FIDCs,https://www.austin.com.br/Historico-Rating/4797/Ares_FIDC_NP_-_Subordinadas_
2026-09-25,ARES FIDC NP - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4796/Ares_FIDC_NP_-_Seniores_Única
2026-09-25,ARTCON FIDC MULTISETORIAL NP  - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/2938/Artcon_FIDC_Multisetorial_NP__-_Subordinadas_Júnior_
2026-09-25,ARTEMUS FIDC - SENIORES 5ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/3166/Artemus_FIDC_-_Seniores_5ª_série
2026-09-25,ARTEMUS FIDC - SUBORDINADAS MEZANINO I-A,FIDCs,https://www.austin.com.br/Historico-Rating/3135/Artemus_FIDC_-_Subordinadas_Mezanino_I-A_
2026-09-25,ARTEMUS FIDC - SUBORDINADAS MEZANINO III,FIDCs,https://www.austin.com.br/Historico-Rating/2995/Artemus_FIDC_-_Subordinadas_Mezanino_III_
2026-09-25,ARTEMUS FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/2465/Artemus_FIDC_-_Subordinadas_Júnior_
2026-09-25,ARTEMUS FIDC - SUBORDINADAS MEZANINO I,FIDCs,https://www.austin.com.br/Historico-Rating/2464/Artemus_FIDC_-_Subordinadas_Mezanino_I_
2026-09-25,ARTESANAL FGTS FIDC - SENIORES 2ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4635/ARTESANAL_FGTS_FIDC_-_Seniores_2ª_série
2026-09-25,ARTESANAL FGTS FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/4462/Artesanal_FGTS_FIDC_-_Subordinadas_Júnior_
2026-09-25,ARTESANAL FGTS FIDC - SUBORDINADAS MEZANINO,FIDCs,https://www.austin.com.br/Historico-Rating/4461/Artesanal_FGTS_FIDC_-_Subordinadas_Mezanino_
2026-09-25,ARTESANAL FGTS FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4460/Artesanal_FGTS_FIDC_-_Seniores_Única
2026-09-25,ARTESANAL INVESTIMENTOS LTDA.,Gestão,https://www.austin.com.br/Historico-Rating/3814/Artesanal_Investimentos_Ltda
2026-09-25,ARTESANAL RECEBÍVEIS IMOBILIÁRIOS FIDC  - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/4764/Artesanal_Recebíveis_Imobiliários_FIDC__-_Subordinadas_Júnior_
2026-09-25,ARTESANAL RECEBÍVEIS IMOBILIÁRIOS FIDC  - SUBORDINADAS MEZANINO,FIDCs,https://www.austin.com.br/Historico-Rating/4763/Artesanal_Recebíveis_Imobiliários_FIDC__-_Subordinadas_Mezanino_
2026-09-25,ARTESANAL RECEBÍVEIS IMOBILIÁRIOS FIDC  - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4762/Artesanal_Recebíveis_Imobiliários_FIDC__-_Seniores_Única
2026-09-25,ARTESANAL SECURITIZADORA DE CRÉDITOS S.A.,Securitizadoras,https://www.austin.com.br/Historico-Rating/5242/Artesanal_Securitizadora_de_Créditos_SA
2026-09-25,ASA CRÉDITO DISTRESSED FIDC NP - ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4765/ASA_Crédito_Distressed_FIDC_NP_-_Única_
2026-09-25,ASA FIC FIDC 90 - SENIORES 2ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4678/ASA_FIC_FIDC_90_-_Seniores_2ª_série
2026-09-25,ASA LP FIC FIDC - SENIORES 6ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4677/ASA_LP_FIC_FIDC_-_Seniores_6ª_série
2026-09-25,ASA LP FIC FIDC - SENIORES 5ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4676/ASA_LP_FIC_FIDC_-_Seniores_5ª_série
2026-09-25,ASA LP FIC FIDC - SENIORES 4ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4675/ASA_LP_FIC_FIDC_-_Seniores_4ª_série
