emissor,cnpj,razao_rfb,razao_cvm,status,obs
BANCO,00000000000191,BANCO DO BRASIL SA,,✅,match exato (RFB)
BRB,00000208014918,BRB BANCO DE BRASILIA SA,,⚠️,match parcial (substring leniente) (RFB)
AXIA ENERGIA,00001180000126,CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS,,⚠️,match parcial (renome: AXIA ENERGIA->CENTRAIS ELETRICAS BRASILEIRAS) (RFB)
ELETROBRAS,00001180000126,CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS,,⚠️,match parcial (substring leniente) (RFB)
CEREAL COMERCIO EXPORTACAO REPRESENTACAO AGROPECUARIA,00012377000160,CEREAL COMERCIO EXPORTACAO E REPRESENTACAO AGROPECUARIA SA,,✅,match exato (RFB)
SANTA CATARINA,00058108000135,CENTRO MEDICO VETERINARIO DE SANTA CATARINA SC LIMITADA,,⚠️,match parcial (substring leniente) (RFB)
MINAS GERAIS,00058113000148,CONDOMINIO MINAS GERAIS,,⚠️,match parcial (substring leniente) (RFB)
COOPERATIVA CREDITO UNICRED CENTRO,00075847000135,COOPERATIVA DE CREDITO UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL,,✅,match exato (RFB)
COMPANHIA SANEAMENTO AMBIENTAL DISTRITO FEDERAL,00082024000137,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,,✅,match exato (RFB)
CCR,00092795000105,CCR-COOP. DE TRABALHO DE CONS. E TECNICOS REUNIDOS LTDA,,✅,match exato (RFB)
AUREN OPERACOES,00194724000113,AUREN OPERACOES S.A.,,✅,match exato (RFB)
ARMAC LOCACAO,00242184000104,"ARMAC LOCACAO, LOGISTICA E SERVICOS S.A.",,✅,match exato (RFB)
COOPERATIVA CENTRAL CREDITO UNICRED,00315557000111,COOPERATIVA CENTRAL DE CREDITO UNICRED DO BRASIL - UNICRED DO BRASIL,,✅,match exato (RFB)
J F,00350763000162,J&F S.A.,,✅,match exato (RFB)
COMPANHIA IMOBILIARIA BRASILIA,00359877000173,COMPANHIA IMOBILIARIA DE BRASILIA TERRACAP,,⚠️,match parcial (substring leniente) (RFB)
CAIXA ECONOMICA FEDERAL,00360305000104,CAIXA ECONOMICA FEDERAL,,✅,match exato (RFB)
COMPANHIA PARAIBANA GAS PBGAS,00371600000166,COMPANHIA PARAIBANA DE GAS PBGAS,,✅,match exato (RFB)
BNDES PARTICIPACOES,00383281000109,BNDES PARTICIPACOES SA BNDESPAR,,⚠️,match parcial (substring leniente) (RFB)
BNDESPAR,00383281000109,BNDES PARTICIPACOES SA BNDESPAR,,⚠️,match parcial (substring leniente) (RFB)
LM TRANSPORTES INTERESTADUAIS SERVICOS COMERCIO,00389481000179,LM TRANSPORTES INTERESTADUAIS SERVICOS E COMERCIO S.A,,✅,match exato (RFB)
BANCO INTER,00416968000101,BANCO INTER S.A,,✅,match exato (RFB)
BRF,00451283000198,BRF-COMERCIO DE GENEROS ALIMENTICIOS LTDA,,✅,match exato (RFB)
BANCO RIBEIRAO PRETO,00517645000104,BANCO RIBEIRAO PRETO S/A,,✅,match exato (RFB)
COMPANHIA PARANAENSE GAS,00535681000192,COMPANHIA PARANAENSE DE GAS COMPAGAS,,⚠️,match parcial (substring leniente) (RFB)
BANCO BARI INVESTIMENTOS FINANCIAMENTOS,00556603000174,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,,✅,match exato (RFB)
ITAU ASSET MANAGEMENT,00639219000135,ITAU ASSET MANAGEMENT LTDA,,✅,match exato (RFB)
ASSOCIACAO POUPANCA EMPRESTIMO,00655522005352,ASSOCIACAO DE POUPANCA E EMPRESTIMO POUPEX,,⚠️,match parcial (substring leniente) (RFB)
LABORATORIO SABIN ANALISES CLINICAS,00718528000109,LABORATORIO SABIN DE ANALISES CLINICAS S.A.,,✅,match exato (RFB)
ENERGISA,00864214000106,ENERGISA S/A,,✅,match exato (RFB)
LET'S RENT CAR,00873894000124,LET'S RENT A CAR S/A,,✅,match exato (RFB)
BEMOL,00903247000118,BEMOL - SERRALHERIA E COMERCIO DE FERRAGENS LTDA,,✅,match exato (RFB)
FERROVIA CENTRO,00924429000175,FERROVIA CENTRO-ATLANTICA S.A,,✅,match exato (RFB)
COOPERATIVA CREDITO CREDICERIPA,00966246000112,COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA,,✅,match exato (RFB)
TOP SERVICE SERVICOS SISTEMAS,00973749000115,TOP SERVICE SERVICOS E SISTEMAS S/A,,✅,match exato (RFB)
ELETRONORTE,00988906000166,ELETRONORTE COM E REP DE APARELHOS ELETRONICOS LTDA,,⚠️,match parcial (substring leniente) (RFB)
BANCO RABOBANK INTERNATIONAL,01023570000160,BANCO RABOBANK INTERNATIONAL BRASIL S/A,,✅,match exato (RFB)
CIELO,01027058000191,CIELO S.A - INSTITUICAO DE PAGAMENTO,,✅,match exato (RFB)
NEOENERGIA,01083200000118,NEOENERGIA S.A,,✅,match exato (RFB)
TESC,01115535000170,TESC - TERMINAL SANTA CATARINA S/A,,✅,match exato (RFB)
BANCO COOPERATIVO SICREDI,01181521000155,BANCO COOPERATIVO SICREDI S.A.,,✅,match exato (RFB)
RUMO MALHA SUL,01258944000126,RUMO MALHA SUL S.A,,✅,match exato (RFB)
AGUAS PARAIBA,01280003000199,AGUAS DO PARAIBA SA,,✅,match exato (RFB)
UNIPRIME PIONEIRA COOPERATIVA CREDITO,01286361000109,UNIPRIME PIONEIRA COOPERATIVA DE CREDITO,,✅,match exato (RFB)
ITAPOA TERMINAIS PORTUARIOS,01317277000105,ITAPOA TERMINAIS PORTUARIOS S/A,,✅,match exato (RFB)
COOPERATIVA CENTRAL CREDITO INTERACAO SOLIDARIA,01401771000153,COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER,,✅,match exato (RFB)
MRS LOGISTICA,01417222000177,MRS LOGISTICA S/A,,✅,match exato (RFB)
BANCO BNP PARIBAS,01522368000182,BANCO BNP PARIBAS BRASIL S.A.,,✅,match exato (RFB)
EQUATORIAL GOIAS DISTRIBUIDORA ENERGIA,01543032000104,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A,,✅,match exato (RFB)
CONCESSIONARIA RODOVIA LAGOS,01612234000152,CONCESSIONARIA DA RODOVIA DOS LAGOS S/A,,✅,match exato (RFB)
SANEAMENTO GOIAS,01616929000102,SANEAMENTO DE GOIAS S/A,,✅,match exato (RFB)
VOTORANTIM CIMENTOS,01637895000132,VOTORANTIM CIMENTOS S.A.,,✅,match exato (RFB)
SAFRA DISTRIBUIDORA TITULOS VALORES MOBILIARIOS,01638542000157,SAFRA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,,✅,match exato (RFB)
PLANAGRI,01644277000110,PLANAGRI S A,,✅,match exato (RFB)
PARANAGUA SANEAMENTO,01691945000160,PARANAGUA SANEAMENTO S.A.,,✅,match exato (RFB)
UNIPRIME IGUACU,01848322000158,"UNIPRIME DO IGUACU - COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO",,✅,match exato (RFB)
BANCO BRASILEIRO CREDITO,01852137000137,BANCO BRASILEIRO DE CREDITO S.A,,✅,match exato (RFB)
COOPERFORTE,01857000000175,COOPERFORTE- COOP DE T. DOS TRAB.RURAIS DE CRISTALINA L,,✅,match exato (RFB)
LIGHT ENERGIA,01917818000136,LIGHT ENERGIA S.A,,✅,match exato (RFB)
ELETRORIVER,01968293000168,ELETRORIVER S.A.,,✅,match exato (RFB)
CONCESSIONARIA AGUAS JUTURNAIBA,02013199000118,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A,,✅,match exato (RFB)
RGE SUL DISTRIBUIDORA ENERGIA,02016440000162,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,,✅,match exato (RFB)
COMPANHIA GERACAO TRANSMISSAO ENERGIA ELETRICA SUL,02016507000240,AXIA ENERGIA SUL S.A.,,⚠️,match parcial (2/3 palavras) (RFB)
BANCO COOPERATIVO SICOOB,02038232000164,BANCO COOPERATIVO SICOOB S.A.,,✅,match exato (RFB)
V.TAL REDE NEUTRA TELECOMUNICACOES,02.041.460/0001-93,V.TAL - REDE NEUTRA DE TELECOMUNICACOES S.A.,,✅,match exato (leniente) (RFB)
RIO JANEIRO,02058338000120,"INSTITUTO DE SEGUROS DO RIO DE JANEIRO, CONSULTORIA, ADMINISTRACAO E CORRETAGEM DE SEGUROS LTDA.",,⚠️,match parcial (substring leniente) (RFB)
LATICINIOS BELA VISTA,02089969000106,LATICINIOS BELA VISTA S.A.,,✅,match exato (RFB)
SRM SEC SECURITIZADORA,02211906000180,SRM SEC SECURITIZADORA S.A,,✅,match exato (RFB)
TRUSTHUB SECURITIZADORA 2022,02.211.906/0001-80,SRM SEC SECURITIZADORA S.A,,⚠️,match parcial (1/2 palavras) (RFB)
UNIFIQUE TELECOMUNICACOES,02255187000108,UNIFIQUE TELECOMUNICACOES S/A,,✅,match exato (RFB)
HOSPITAL ESPERANCA,02284062000106,HOSPITAL ESPERANCA SA,,✅,match exato (RFB)
LOCALIZA FLEET,02286479000108,LOCALIZA FLEET S.A.,,✅,match exato (RFB)
EDP SAO PAULO DISTRIBUICAO ENERGIA,02302100000106,EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.,,✅,match exato (RFB)
EMAE,02302101000142,EMAE - EMPRESA METROPOLITANA DE AGUAS E ENERGIA SA,,✅,match exato (RFB)
ELEKTRO REDES,02328280000197,ELEKTRO REDES S.A.,,✅,match exato (RFB)
MOS GESTAO INVESTIMENTOS,02328724000194,MOS GESTAO DE INVESTIMENTOS LTDA,,✅,match exato (RFB)
TEGMA GESTAO LOGISTICA,02351144000118,TEGMA GESTAO LOGISTICA S.A.,,✅,match exato (RFB)
PROLAGOS,02382073000110,PROLAGOS S/A - CONCESSIONARIA DE SERVICOS PUBLICOS DE AGUA E ESGOTO,,✅,match exato (RFB)
RUMO,02387241000160,RUMO S.A,,✅,match exato (RFB)
ITAPEBI GERACAO ENERGIA,02397080000196,ITAPEBI GERACAO DE ENERGIA SA,,✅,match exato (RFB)
SISPRIME,02398976000190,SISPRIME DO BRASIL - COOPERATIVA DE CREDITO,,✅,match exato (RFB)
TIM,02421421000111,TIM S A,,✅,match exato (RFB)
CPFL ENERGIA,02429144000193,CPFL ENERGIA S.A.,,✅,match exato (RFB)
CONCESSIONARIA SISTEMA ANHANGUERA,02451848000162,CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A,,✅,match exato (RFB)
ENGIE ENERGIA,02474103000119,ENGIE BRASIL ENERGIA S.A.,,✅,match exato (RFB)
ULTRAFERTIL,02476026000136,ULTRAFERTIL SA,,✅,match exato (RFB)
RUMO MALHA PAULISTA,02502844000166,RUMO MALHA PAULISTA S.A.,,✅,match exato (RFB)
CONCESSIONARIA ECOVIAS IMIGRANTES,02509491000126,CONCESSIONARIA ECOVIAS DOS IMIGRANTES S.A.,,✅,match exato (RFB)
TELEFONICA,02558157000162,TELEFONICA BRASIL S.A.,,✅,match exato (RFB)
HOSPITAL ANCHIETA,02560878000107,HOSPITAL ANCHIETA S.A,,✅,match exato (RFB)
BNP PARIBAS ASSET MANAGEMENT,02562663000125,BNP PARIBAS ASSET MANAGEMENT BRASIL LTDA,,✅,match exato (RFB)
TIM SERVICOS PARTICIPACOES,02600854000134,TIM BRASIL SERVICOS E PARTICIPACOES S.A,,✅,match exato (RFB)
JALLES MACHADO,02635522000195,JALLES MACHADO S.A.,,✅,match exato (RFB)
T V V,02639850000160,T V V - TERMINAL DE VILA VELHA S.A,,✅,match exato (RFB)
SANTOS PARTICIPACOES,02762121000104,SANTOS BRASIL PARTICIPACOES S.A.,,✅,match exato (RFB)
CRI OPEA SECURITIZADORA,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,⚠️,match parcial (substring leniente) (RFB)
CRI OPEA SECURITIZADORA 2023,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,⚠️,match parcial (substring leniente) (RFB)
OPEA SECURITIZADORA,02773542000122,OPEA SECURITIZADORA S.A.,,✅,match exato (RFB)
OPEA SECURITIZADORA 2011,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2012,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2015,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2016,02773542000122,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2017,02773542000122,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2018,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2019,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2020,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2021,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2022,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2023,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2024,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2025,02773542000122,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2026,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
COGNA EDUCACAO,02800026000140,COGNA EDUCACAO S.A,,✅,match exato (RFB)
BANCO MORGAN STANLEY,02801938000136,BANCO MORGAN STANLEY S.A.,,✅,match exato (RFB)
MOTIVA INFRAESTRUTURA MOBILIDADE,02846056000197,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.,,✅,match exato (RFB)
BRADSEG PARTICIPACOES,02863655000119,BRADSEG PARTICIPACOES S.A.,,✅,match exato (RFB)
BRZ INVESTIMENTOS,02888152000106,BRZ INVESTIMENTOS LTDA,,✅,match exato (RFB)
SEARA ALIMENTOS,02914460000150,SEARA ALIMENTOS LTDA,,✅,match exato (RFB)
JBS,02916265000160,JBS S/A,,✅,match exato (RFB)
ARTERIS,02919555000167,ARTERIS S.A.,,✅,match exato (RFB)
HYPERA,02932074000191,HYPERA S.A.,,✅,match exato (RFB)
BANCO TOYOTA,02977348000169,BANCO TOYOTA DO BRASIL S/A,,✅,match exato (RFB)
BANCO CNH INDUSTRIAL CAPITAL,02992446000175,BANCO CNH INDUSTRIAL CAPITAL S.A.,,✅,match exato (RFB)
RIO PARANAPANEMA ENERGIA,02998301000181,RIO PARANAPANEMA ENERGIA S.A.,,✅,match exato (RFB)
ISA ENERGIA,02998611000104,ISA ENERGIA BRASIL S.A.,,✅,match exato (RFB)
BANCO J SAFRA,03017677000120,BANCO J. SAFRA S.A,,⚠️,match parcial (2/2 palavras) (RFB)
RODOVIAS COLINAS,03025305000146,RODOVIAS DAS COLINAS S/A,,✅,match exato (RFB)
EBT,03110981000118,EBT EMPRESA BRASILEIRA DE TERMINAIS E ARMAZENS GERAIS LTDA,,⚠️,match parcial (substring leniente) (RFB)
SANTA MARIA ADMINISTRACAO PARTICIPACAO,03199941000194,SANTA MARIA ADMINISTRACAO E PARTICIPACAO LTDA,,✅,match exato (RFB)
CONCESSIONARIA RODOVIAS INTERIOR PAULISTA,03207703000183,CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A.,,✅,match exato (leniente) (RFB)
COPOBRAS INDUSTRIA COMERCIO EMBALAGENS,03210400000110,COPOBRAS INDUSTRIA E COMERCIO DE EMBALAGENS LTDA.,,✅,match exato (RFB)
EQUATORIAL,03220438000173,EQUATORIAL S.A.,,✅,match exato (RFB)
CSCF CARTOES CONSIGNADOS BMG 2022,03.225.246/0001-50,CSCF-TRUST COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS,,⚠️,match parcial (substring) (RFB)
MANAUS AMBIENTAL,03264927000127,MANAUS AMBIENTAL S.A.,,✅,match exato (RFB)
ORIZON MEIO AMBIENTE,03279285000130,ORIZON MEIO AMBIENTE S.A.,,✅,match exato (RFB)
PETRORECONCAVO,03342704000130,PETRORECONCAVO S/A,,✅,match exato (RFB)
COOPERATIVA CREDITO CREDIROCHAS,03358914000117,COOPERATIVA DE CREDITO CREDIROCHAS - SICOOB CREDIROCHAS,,✅,match exato (RFB)
MERCADOLIVRE. ATIVIDADES INTERNET,03361252000134,MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA,,✅,match exato (RFB)
LIGHT,03378521000175,LIGHT S/A - EM RECUPERACAO JUDICIAL,,✅,match exato (RFB)
REFRESCOS BANDEIRANTES INDUSTRIA COMERCIO,03380763001507,REFRESCOS BANDEIRANTES INDUSTRIA E COMERCIO LTDA,,✅,match exato (RFB)
TIVIO CAPITAL DTVM,03384738000198,TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA,,✅,match exato (leniente) (RFB)
VOTORANTIM,03407049000151,VOTORANTIM S.A.,,✅,match exato (RFB)
LAJEADO ENERGIA,03460864000184,LAJEADO ENERGIA S/A,,✅,match exato (RFB)
ENERGISA MATO GROSSO,03467321000199,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,,✅,match exato (RFB)
RODOVIAS INTEGRADAS OESTE,03497792000140,RODOVIAS INTEGRADAS DO OESTE S/A,,✅,match exato (RFB)
CHUBB SEGUROS,03502099000118,CHUBB SEGUROS BRASIL S.A.,,✅,match exato (RFB)
HSI GESTORA FUNDOS IMOBILIARIOS,03539353000152,HSI GESTORA DE FUNDOS IMOBILIARIOS LTDA,,✅,match exato (RFB)
BANCO HONDA,03634220000165,BANCO HONDA S/A.,,✅,match exato (leniente) (RFB)
INVESTIMENTOS PARTICIPACOES INFRAESTRUTURA,03758318000124,INVESTIMENTOS E PARTICIPACOES EM INFRAESTRUTURA S.A - INVEPAR,,✅,match exato (RFB)
BRAZILIAN SECURITIES 2011,03.767.538/0001-14,BRAZILIAN SECURITIES COMPANHIA DE SECURITIZACAO,,⚠️,match parcial (substring leniente) (RFB)
BRAZILIAN SECURITIES 2013,03.767.538/0001-14,BRAZILIAN SECURITIES COMPANHIA DE SECURITIZACAO,,⚠️,match parcial (substring leniente) (RFB)
SABER SERVICOS EDUCACIONAIS,03818379000130,SABER SERVICOS EDUCACIONAIS S.A,,✅,match exato (RFB)
BSB ENERGETICA,03820456000196,BSB ENERGETICA S/A,,✅,match exato (RFB)
BRADESPAR,03847461000192,BRADESPAR S.A.,,✅,match exato (RFB)
MARFRIG GLOBAL FOODS,03853896000140,MARFRIG GLOBAL FOODS S.A.,,✅,match exato (RFB)
ALIBEM ALIMENTOS,03941052000150,ALIBEM ALIMENTOS S.A.,,✅,match exato (RFB)
CPFL GERACAO ENERGIA,03953509000147,CPFL GERACAO DE ENERGIA S/A,,✅,match exato (RFB)
EDP ENERGIAS,03983431000103,EDP - ENERGIAS DO BRASIL S.A.,,✅,match exato (leniente) (RFB)
4UM GESTAO RECURSOS,03983856000112,4UM GESTAO DE RECURSOS LTDA,,✅,match exato (RFB)
EMPRESA CATARINENSE TRANSMISSAO ENERGIA,03.984.987/0001-14,ECTE - EMPRESA CATARINENSE DE TRANSMISSAO DE ENERGIA S/A,,⚠️,match parcial (substring leniente) (RFB)
PRINCIPAL ASSET MANAGEMENT,03987891000100,PRINCIPAL ASSET MANAGEMENT LTDA,,✅,match exato (RFB)
MATEUS SUPERMERCADOS,03995515001309,MATEUS SUPERMERCADOS S.A.,,✅,match exato (RFB)
ENERGISA ACRE,04065033000170,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,,✅,match exato (RFB)
BRZ EMPREENDIMENTOS CONSTRUCOES,04065053000141,BRZ EMPREENDIMENTOS E CONSTRUCOES S/A,,✅,match exato (RFB)
AGUAS GUARIROBA,04089570000150,AGUAS GUARIROBA SA,,✅,match exato (RFB)
MAPFRE INVESTIMENTOS,04160039000127,MAPFRE INVESTIMENTOS LTDA.,,✅,match exato (RFB)
COMPANHIA PIRATININGA FORCA LUZ,04172213000151,COMPANHIA PIRATININGA DE FORCA E LUZ,,✅,match exato (RFB)
BRENNAND INVESTIMENTOS,04184774000170,BRENNAND INVESTIMENTOS S.A.,,✅,match exato (RFB)
COMPANHIA PROVINCIA SECURITIZACAO,04200649000107,COMPANHIA PROVINCIA DE SECURITIZACAO,,✅,match exato (RFB)
COMPANHIA PROVINCIA SECURITIZACAO.,04200649000107,COMPANHIA PROVINCIA DE SECURITIZACAO,,✅,match exato (leniente) (RFB)
FRANKLIN TEMPLETON INVESTIMENTOS,04205311000148,FRANKLIN TEMPLETON INVESTIMENTOS (BRASIL) LTDA.,,✅,match exato (RFB)
VOKE,04212396000191,VOKE S.A.,,✅,match exato (RFB)
PERFIN INFRA ADMINISTRACAO RECURSOS,04232804000177,PERFIN INFRA ADMINISTRACAO DE RECURSOS LTDA,,✅,match exato (RFB)
CAPITANIA,04274010000176,CAPITANIA INVEST S/A,,⚠️,match parcial (substring leniente) (RFB)
GOLDMAN SACHS BANCO MULTIPLO,04332281000130,GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.,,✅,match exato (RFB)
LIGGA TELECOMUNICACOES,04368865000166,LIGGA TELECOMUNICACOES S.A.,,✅,match exato (RFB)
COPEL DISTRIBUICAO,04368898000106,COPEL DISTRIBUICAO S.A.,,✅,match exato (RFB)
COPEL GERACAO TRANSMISSAO,04370282000170,COPEL GERACAO E TRANSMISSAO S.A.,,✅,match exato (RFB)
COOPERATIVA CREDITO SICOOB ENGECRED,04388688000180,COOPERATIVA DE CREDITO SICOOB ENGECRED LTDA,,✅,match exato (RFB)
ARX INVESTIMENTOS,04408128000140,ARX INVESTIMENTOS LTDA,,✅,match exato (RFB)
DIX EMPREENDIMENTOS,04409762000440,DIX EMPREENDIMENTOS S/A,,✅,match exato (RFB)
EMPRESA PARAENSE TRANSMISSAO ENERGIA,04416923000180,EMPRESA PARAENSE DE TRANSMISSAO DE ENERGIA S/A,,✅,match exato (RFB)
EMPRESA AMAZONENSE TRANSMISSAO ENERGIA,04416935000104,EMPRESA AMAZONENSE DE TRANSMISSAO DE ENERGIA S/A,,✅,match exato (RFB)
ENEVA,04423567000121,ENEVA S.A.,,✅,match exato (RFB)
AZ QUEST INVESTIMENTOS,04506394000105,AZ QUEST INVESTIMENTOS LTDA.,,✅,match exato (RFB)
ELECTRA PCH BURITI SPE,04547015000125,ELECTRA PCH BURITI SPE S/A,,✅,match exato (RFB)
BRISANET SERVICOS TELECOMUNICACOES,04601397000128,BRISANET SERVICOS DE TELECOMUNICACOES S.A.,,✅,match exato (RFB)
CREDISIS,04632856000130,CREDISIS - CENTRAL DE COOPERATIVAS DE CREDITO LTDA,,✅,match exato (RFB)
USINA TERMELETRICA PAMPA SUL,04739720000124,USINA TERMELETRICA PAMPA SUL S.A.,,✅,match exato (RFB)
MANTIQUEIRA ALIMENTOS,04747794000102,MANTIQUEIRA ALIMENTOS S.A.,,✅,match exato (RFB)
ANDRE MAGGI PARTICIPACOES,04786144000176,ANDRE MAGGI PARTICIPACOES S/A,,✅,match exato (RFB)
PORTOSEG,04862600000110,"PORTOSEG S/A - CREDITO, FINANCIAMENTO E INVESTIMENTO",,✅,match exato (RFB)
BANCO INBURSA,04866275000163,BANCO INBURSA S.A.,,✅,match exato (RFB)
EQUATORIAL PARA DISTRIBUIDORA ENERGIA,04895728000180,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,,✅,match exato (RFB)
BANCO AMAZONIA,04902979000144,BANCO DA AMAZONIA SA,,✅,match exato (RFB)
HIDRO FORTE ADMINISTRACAO OPERACAO,04911091000178,HIDRO FORTE ADMINISTRACAO E OPERACAO S/A,,✅,match exato (RFB)
BANCO ESTADO PARA,04913711000108,BANCO DO ESTADO DO PARA S A,,✅,match exato (RFB)
GRUPO FARTURA HORTIFRUT,04972092000122,GRUPO FARTURA DE HORTIFRUT S.A.,,✅,match exato (RFB)
CPFL COMERCIALIZACAO,04973790000142,CPFL COMERCIALIZACAO BRASIL S.A.,,✅,match exato (RFB)
SER EDUCACIONAL,04986320000113,SER EDUCACIONAL S.A.,,✅,match exato (RFB)
NOVA TRANSPORTADORA SUDESTE,04992714000184,NOVA TRANSPORTADORA DO SUDESTE S/A - NTS,,✅,match exato (RFB)
BANCO LAGE LANDEN,05040481000182,BANCO DE LAGE LANDEN BRASIL S.A.,,✅,match exato (RFB)
CONFLUENCIA ENERGIA,05104205000130,CONFLUENCIA ENERGIA S/A,,✅,match exato (RFB)
COMPORTE PARTICIPACOES,05169726000176,COMPORTE PARTICIPACOES S.A.,,✅,match exato (RFB)
HAPVIDA PARTICIPACOES INVESTIMENTOS,05197443000138,HAPVIDA PARTICIPACOES E INVESTIMENTOS S/A,,✅,match exato (RFB)
IN,05208211001703,IN HAUS INDUSTRIAL E SERVICOS DE LOGISTICA S/A,,⚠️,match parcial (substring leniente) (RFB)
EMPRESA NORTE TRANSMISSAO ENERGIA,05321987000160,EMPRESA NORTE DE TRANSMISSAO DE ENERGIA S.A.,,✅,match exato (RFB)
CACHOEIRA PAULISTA TRANSMISSORA ENERGIA,05336882000184,CACHOEIRA PAULISTA TRANSMISSORA DE ENERGIA S.A.,,✅,match exato (RFB)
BRK AMBIENTAL,05380441000180,BRK AMBIENTAL - MAUA S.A.,,✅,match exato (RFB)
POLO CAPITAL GESTAO RECURSOS,05451668000179,POLO CAPITAL GESTAO DE RECURSOS LTDA,,✅,match exato (RFB)
COOPERATIVA CENTRAL CREDITO AILOS,05463212000129,COOPERATIVA CENTRAL DE CREDITO - AILOS,,✅,match exato (leniente) (RFB)
CLOUDWALK FINANCEIRA CREDITO,05503849000100,"CLOUDWALK FINANCEIRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO",,✅,match exato (RFB)
ESTADO MARANHAO,05506465000132,ESTADO DO MARANHAO - SECRETARIA DE ESTADO DO ESPORTE,,✅,match exato (RFB)
SOMMA INVESTIMENTOS,05563299000106,SOMMA INVESTIMENTOS S.A.,,✅,match exato (RFB)
INTER ASSET GESTAO RECURSOS,05585083000141,INTER ASSET GESTAO DE RECURSOS LTDA,,✅,match exato (RFB)
BANCO ESTADO RIO GRANDE SUL,05707792000152,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,,✅,match exato (RFB)
BANCO ABC,05715127000100,BANCO ABC BRASIL S/A,,✅,match exato (RFB)
BANCO FIBRA,05722758000157,BANCO FIBRA S.A.,,✅,match exato (RFB)
ALLOS,05878397000132,ALLOS S.A.,,✅,match exato (RFB)
ENERGISA RONDONIA DISTRIBUIDORA ENERGIA,05914650000166,ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S.A,,✅,match exato (leniente) (RFB)
LIVETECH BAHIA INDUSTRIA COMERCIO,05917486000140,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S.A.,,✅,match exato (RFB)
COMPANHIA ELETRICIDADE AMAPA,05965546000109,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,,⚠️,match parcial (substring leniente) (RFB)
