emissor,cnpj,razao_rfb,razao_cvm,status,obs
GUARDIAN MULTI CONSIGNADO VII FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,54.065.359/0001-76,GUARDIAN MULTI CONSIGNADO VII FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESP LIMITADA,,✅,match exato (leniente) (RFB)
COMPANHIA ELETRICIDADE ESTADO BAHIA,54082919000109,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA LTDA,,✅,match exato (RFB)
CLOUDWALK BIG PICTURE I FUNDO INVESTIMENTO DIREITOS CREDITORIOS SEGMENTO MEIOS PAGAMENTO,54218673000141,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO,,✅,match exato (RFB)
CLOUDWALK BIG PICTURE II FUNDO INVESTIMENTO DIREITOS CREDITORIOS SEGMENTO MEIOS PAGAMENTO,54218941000125,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO,,✅,match exato (RFB)
CLOUDWALK BIG PICTURE III FUNDO INVESTIMENTO DIREITOS CREDITORIOS SEGMENTO MEIOS PAGAMENTO,54219179000100,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO,,✅,match exato (RFB)
CLOUDWALK BIG PICTURE IV FUNDO INVESTIMENTO DIREITOS CREDITORIOS SEGMENTO MEIOS PAGAMENTO,54248022000102,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO,,✅,match exato (RFB)
J17 FGTS FUNDO INVESTIMENTO DIREITOS CREDITORIOS FINANCEIRO,54252144000164,J17 FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS FINANCEIRO - RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS MT FGTS RECEIVABLES II,54464892000100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MT FGTS RECEIVABLES II,,✅,match exato (RFB)
USINA BATATAIS,54470679000101,USINA BATATAIS S/A ACUCAR E ALCOOL,,⚠️,match parcial (substring leniente) (RFB)
ICRED FGTS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,54518191000107,ICRED FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
TRADEMASTER III FIDC RECEBIVEIS COMERCIAIS,54585643000173,TRADEMASTER III FIDC - RECEBIVEIS COMERCIAIS - RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS SOMACRED SABEMI III,54697682000162,FUNDO DE INVESTIMENTO EM DIREITOS  CREDITORIOS SOMACRED SABEMI CONSIGNADO PUBLICO III,,⚠️,match parcial (sem sufixo) (RFB)
COMPANHIA RIOGRANDENSE SANEAMENTO CORSAN,54748175000100,COMPANHIA RIOGRANDENSE DE SANEAMENTO CORSAN LTDA,,✅,match exato (RFB)
FERRARI AGROINDUSTRIA,54846951000105,FERRARI AGROINDUSTRIA S/A,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS ACR BEM BANCOS EMISSORES CARTAO CREDITO,54979779000168,FIDC ACR BEM BANCOS EMISSORES DE CARTAO DE CREDITO - RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
EDP TRANSMISSAO NORTE NORDESTE II,55078938000116,EDP TRANSMISSAO NORTE NORDESTE 2 S.A.,,⚠️,match parcial (sem sufixo) (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS PRATA DIGITAL III FGTS RESPONSABILIDADE LIMITADA,55175561000113,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS PRATA DIGITAL III FGTS RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
INTESA SANPAOLO,55230916000120,INTESA SANPAOLO BRASIL S.A. - BANCO MULTIPLO,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA INCLUSAO FINANCEIRA PLUS,55255330000110,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE LIMITADA INCLUSAO FINANCEIRA PLUS,,✅,match exato (RFB)
SELLER II FUNDO INVESTIMENTO DIREITOS CREDITORIOS SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE,55471753000177,SELLER II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO RESP LTDA,,✅,match exato (leniente) (RFB)
OURINHOS SANEAMENTO,55474939000180,OURINHOS SANEAMENTO S.A.,,✅,match exato (RFB)
