dt_captura,no_emissor,link
2026-09-25,FIDC Guardian INSS Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,
2026-09-25,FIDC Kiwify,
2026-09-25,FIDC PicPay FGTS,
2026-09-25,FIDC Stellantis Financiamentos Mobility I – Responsabilidade Limitada,
2026-09-25,Flowinvest Fundo de Investimento em Direitos Creditórios – Responsabilidade Limitada,
2026-09-25,Fundo De Investimento Em Direitos Creditórios Alion Consignados,
2026-09-25,Fundo de Investimento em Direitos Creditórios Agibank I Responsabilidade Limitada,
2026-09-25,Fundo de Investimento em Direitos Creditórios Agibank II Responsabilidade Limitada,
2026-09-25,Fundo de Investimento em Direitos Creditórios BRZ Capital Consig I,
2026-09-25,Fundo de Investimento em Direitos Creditórios BV Auto I Segmento Financeiro – Responsabilidade Limitada,
2026-09-25,Fundo de Investimento em Direitos Creditórios BV Auto II Segmento Financeiro – Responsabilidade Limitada,
2026-09-25,Fundo de Investimento em Direitos Creditórios Cap - Responsabilidade Limitada,
2026-09-25,Fundo de Investimento em Direitos Creditórios Clientes BRF II,
2026-09-25,Fundo de Investimento em Direitos Creditórios Consignados IX (BRZ),
2026-09-25,Fundo de Investimento em Direitos Creditórios LF III,
2026-09-25,Fundo de Investimento em Direitos Creditórios MT FGTS Receivables II,
2026-09-25,Fundo de Investimento em Direitos Creditórios Noto Consignados,
2026-09-25,Fundo de Investimento em Direitos Creditórios Picpay FGTS II,
2026-09-25,Fundo de Investimento em Direitos Creditórios Prata Digital III FGTS Responsabilidade Limitada,
2026-09-25,Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada Flagship BTO Receivables (FIDC Atento),
2026-09-25,Fundo de Investimento em Direitos Creditórios Santander Auto Loans I Segmento Financeiro - Responsabilidade Limitada,
2026-09-25,Fundo de Investimento em Direitos Creditórios Sol Agora IV,
2026-09-25,Fundo de Investimento em Direitos Creditórios Somacred Bach - Responsabilidade Limitada,
2026-09-25,Fundo de Investimento em Direitos Creditórios Somacred Bach – Responsabilidade Limitada,
2026-09-25,Fundo de Investimento em Direitos Creditórios Somacred Sabemi III,
2026-09-25,Fundo de Investimento em Direitos Creditórios Somacred Vega Sicília Assistência Financeira Resp Ltda,
2026-09-25,Fundo de Investimento em Direitos Creditórios Stellantis Mobility II - Responsabilidade Limitada,
2026-09-25,Fundo de Investimento em Direitos Creditórios Stellantis Mobility III - Responsabilidade Limitada,
2026-09-25,Fundo de Investimento em Direitos Creditórios Trademax Responsabilidade Limitada,
2026-09-25,Fundo de Investimento em Direitos Creditórios VCK II Consignados,
2026-09-25,Fundo de Investimento em Direitos Creditórios de Responsabilidade Limitada Inclusão Financeira,
2026-09-25,Fundo de Investimento nas Cadeias Produtivas Agroindustriais  - Fiagro Direitos Creditórios Figtree Produtores Agrícolas I,
2026-09-25,Fundo de Investimentos em Direitos Creditórios MT FGTS Receivables IV,
2026-09-25,Gaia Securitizadora S.A. - 3ª Série da 1ª Emissão de CRIs (Risco Banco do Brasil),
2026-09-25,Gaia Securitizadora S.A. - 45ª Série da 4ª Emissão de CRIs (Risco Banco do Brasil),
2026-09-25,Gaia Securitizadora S.A. - 73ª Série da 4ª Emissão de CRIs (Risco Banco do Brasil),
2026-09-25,Gaia Securitizadora S.A. - 83ª Série da 4ª Emissão de CRIs (Risco Banco do Brasil),
2026-09-25,Gaia Securitizadora S.A.- 22ª Série da 5ª Emissão de CRIs (Risco Banco do Brasil),
2026-09-25,Guardian Multi Consignado VII Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,
2026-09-25,IORQ Frederic Fundo de Investimento em Direitos Creditórios – Responsabilidade Limitada,
2026-09-25,IS Sol Agora Green II ESG FIDC Segmento Financeiro de Responsabilidade Limitada,
2026-09-25,Ifood Pago Crédito I Fundo De Investimento Em Direitos Creditórios Financeiro De Responsabilidade Limitada,
2026-09-25,Isaac Fundo de Investimento em Direitos Creditórios,
2026-09-25,J17 FGTS Fundo de Investimento em Direitos Creditórios Financeiro – Responsabilidade Limitada,
2026-09-25,K-Fundo de Investimento em Direitos Creditórios,
2026-09-25,Kanastra Securitizadora - 3ª Emissão de CRIs,
2026-09-25,Kanastra Securitizadora S.A. - 1ª e 2ª Séries da 2ª Emissão de CRIs (Solfacil),
2026-09-25,"Kanastra Securitizadora S.A. – 1ª, 2ª, 3ª e 4ª Series da 4ª Emissao de CRIs (Solfacil)",
2026-09-25,Kyklos Fundo de Investimento em Direitos Creditórios,
2026-09-25,Larca Aurora Fundo de Investimento em Direitos Creditórios Consignado de Responsabilidade Limitada,
2026-09-25,MT INSS Receivables Vi Fundo De Investimento Em Direitos Creditorios Responsabilidade Limitada,
2026-09-25,Mais Todos Fundo de Investimento em Direitos Creditórios,
2026-09-25,Monee II Fundo de Investimento em Direitos Creditórios Segmento Financeiro – Responsabilidade limitada,
2026-09-25,NDMP I Fundo de Investimento em Direitos Creditórios,
2026-09-25,"Opea Securitizadora - 1ª, 2ª e 3ª Séries da 219ª Emissão de CRAs (Risco Frigol)",
2026-09-25,"Opea Securitizadora - 1ª, 2ª e 3ª Séries da 226ª Emissão de CRIs (Risco Lavvi)",
2026-09-25,"Opea Securitizadora - 1ª, 2ª e 3ª Séries da 366ª Emissão de CRIs (Risco Lavvi)",
2026-09-25,"Opea Securitizadora - 1ª, 2ª e 3ª Séries da 518ª Emissão de CRIs (Risco Lavvi)",
2026-09-25,"Opea Securitizadora - 1ª, 2ª e 3ª Séries da 63ª Emissão de CRIs (Banco BTG Pactual)",
2026-09-25,Opea Securitizadora S.A. - 1ª Série da 188ª Emissão de CRIs (Risco Banco PAN),
2026-09-25,Opea Securitizadora S.A. - 1ª e 2ª Séries da 26ª Emissão de Debêntures (Risco Afya),
2026-09-25,Opea Securitizadora S.A. - 1ª e 2ª Séries da 457ª Emissão de CRIs (Risco Diálogo),
2026-09-25,Opea Securitizadora S.A. - 1ª e 2ª Séries da 597ª Emissão de CRIs (Risco Cury),
2026-09-25,"Opea Securitizadora S.A. - 1ª, 2ª e 3ª Séries da 121ª Emissão de CRAs (Risco Unidas)",
2026-09-25,"Opea Securitizadora S.A. - 1ª, 2ª e 3ª Séries da 126ª Emissão de CRIs (Risco Simpar)",
