dt_captura,agencia,no_emissor_padronizado,no_emissor_original,no_tipo_rating,de_rating_br,de_outlook,dt_acao_rating,link
2026-09-20,Moody's,BRK AMBIENTAL PARTICIPACOES,BRK Ambiental Participações S.A.,Rating Corporativo,AA-.br,Perspectiva estável,2025-09-19,
2026-09-20,Moody's,BRK AMBIENTAL REGIAO METROPOLITANA MACEIO,BRK Ambiental Região Metropolitana de Maceió S.A.,Rating de Emissor,AA-.br,Perspectiva estável,2025-09-19,
2026-09-20,Moody's,BEMOL,Bemol S.A.,Rating de Emissor,A-.br,Perspectiva positiva,2026-08-06,
2026-09-20,Moody's,BORRACHAS VIPAL,Borrachas Vipal S.A.,Rating de Emissor,A+.br,Perspectiva estável,2025-12-08,
2026-09-20,Moody's,BRENNAND ENERGIA,Brennand Energia S.A.,Rating Corporativo,AA.br,Perspectiva positiva,2025-12-17,
2026-09-20,Moody's,BRENNAND INVESTIMENTOS,Brennand Investimentos S.A.,Rating Corporativo,AA-.br,Perspectiva positiva,2025-12-17,
2026-09-20,Moody's,CCR,CCR S.A.,Rating Corporativo,AA+.br,Perspectiva estável,2024-09-27,
2026-09-20,Moody's,CEMIG DISTRIBUICAO,CEMIG Distribuição S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2025-09-03,
2026-09-20,Moody's,CEMIG GERACAO TRANSMISSAO,CEMIG Geração e Transmissão S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2025-09-03,
2026-09-20,Moody's,CM HOSPITALAR,CM Hospitalar S.A. (Viveo),Rating Corporativo,BB-.br,Perspectiva positiva,2026-08-18,
2026-09-20,Moody's,CPFL ENERGIA,CPFL Energia S.A.,Rating Corporativo,AAA.br,Perspectiva estável,2026-03-20,
2026-09-20,Moody's,CAMIL ALIMENTOS,Camil Alimentos S.A.,Rating de Emissor,AA+.br,Perspectiva estável,2026-05-19,
2026-09-20,Moody's,CASTROLANDA,Castrolanda - Cooperativa Agroindustrial Ltda.,Rating de Emissor,A+.br,Perspectiva estável,2026-07-22,
2026-09-20,Moody's,CHINA THREE GORGES ENERGIA,China Three Gorges Brasil Energia S.A. - CTG,Rating de Emissor,AAA.br,Perspectiva estável,2025-12-03,
2026-09-20,Moody's,CIA. LATINO AMERICANA MEDICAMENTOS,Cia. Latino Americana de Medicamentos,Rating de Emissor,A.br,Perspectiva estável,2026-08-14,
2026-09-20,Moody's,CLARO,Claro S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2025-12-18,
2026-09-20,Moody's,COMERC ENERGIA,Comerc Energia S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-01-20,
2026-09-20,Moody's,COMPANHIA CATARINENSE AGUAS SANEAMENTO,Companhia Catarinense de Águas e Saneamento - CASAN,Rating de Emissor,A+.br,Perspectiva estável,2026-08-31,
2026-09-20,Moody's,COMPANHIA ENERGETICA MINAS GERAIS,Companhia Energética de Minas Gerais - CEMIG,Rating Corporativo,AAA.br,Perspectiva estável,2025-09-03,
2026-09-20,Moody's,COMPANHIA PARANAENSE GAS,Companhia Paranaense de Gás – COMPAGAS,Rating de Emissor,AA+.br,Perspectiva estável,2026-02-04,
2026-09-20,Moody's,COMPANHIA SIDERURGICA NACIONAL,Companhia Siderúrgica Nacional (CSN),Rating Corporativo,BBB.br,RUR para Rebaixamento,2026-06-08,
2026-09-20,Moody's,COMPANHIA GAS SAO PAULO,Companhia de Gás de São Paulo - Comgás,Rating de Emissor,AAA.br,Perspectiva estável,2026-08-05,
2026-09-20,Moody's,COMPANHIA SANEAMENTO AMBIENTAL DISTRITO FEDERAL,Companhia de Saneamento Ambiental do Distrito Federal - CAESB,Rating de Emissor,AAA.br,Perspectiva estável,2025-09-03,
2026-09-20,Moody's,COMPANHIA SANEAMENTO MINAS GERAIS,Companhia de Saneamento de Minas Gerais S.A. - COPASA,Rating Corporativo,AAA.br,Perspectiva estável,2026-06-23,
2026-09-20,Moody's,COMPANHIA SANEAMENTO PARANA,Companhia de Saneamento do Paraná - SANEPAR,Rating Corporativo,AAA.br,Perspectiva estável,2026-01-16,
2026-09-20,Moody's,COMPANHIA SANEAMENTO TOCANTINS,Companhia de Saneamento do Tocantins - Saneatins,Rating de Emissor,AA.br,Perspectiva estável,2026-09-03,
2026-09-20,Moody's,COMPANHIA METROPOLITANO SAO PAULO,Companhia do Metropolitano de São Paulo – Metrô,Rating de Emissor,AA-.br,Perspectiva estável,2026-03-31,
2026-09-20,Moody's,COMPANHIA AGUAS ITAPEMA,Companhia Águas de Itapema,Rating de Emissor,A+.br,Perspectiva estável,2025-07-03,
2026-09-20,Moody's,COMPASS GAS ENERGIA,Compass Gás & Energia S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-03-18,
2026-09-20,Moody's,COMPORTE PARTICIPACOES,Comporte Participações S.A.,Rating de Emissor,AA-.br,Perspectiva estável,2025-12-01,
2026-09-20,Moody's,CORPOREOS SERVICOS TERAPEUTICOS,Corpóreos Serviços Terapêuticos S.A.,Rating de Emissor,A.br,Perspectiva estável,2026-07-01,
2026-09-20,Moody's,COSAN,Cosan S.A.,Rating de Emissor,A+.br,Perspectiva negativa,2026-08-10,
2026-09-20,Moody's,CURY CONSTRUTORA INCORPORADORA,Cury Construtora e Incorporadora S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-03-31,
2026-09-20,Moody's,CYRELA BRAZIL REALTY EMPREENDIMENTOS PARTICIPACOES,Cyrela Brazil Realty S.A. Empreendimentos e Participações (Cyrela),Rating Corporativo,AAA.br,Perspectiva estável,2026-04-08,
2026-09-20,Moody's,DEXCO,DexCo S.A.,Rating de Emissor,AAA.br,Perspectiva negativa,2025-12-03,
2026-09-20,Moody's,DIALOGO ENGENHARIA CONSTRUCAO,Diálogo Engenharia e Construção S.A.,Rating de Emissor,AA+.br,Perspectiva estável,2025-07-03,
2026-09-20,Moody's,EDP ENERGIAS,EDP Energias do Brasil S.A.,Rating Corporativo,AAA.br,Perspectiva estável,2025-10-09,
2026-09-20,Moody's,EDP ESPIRITO SANTO DISTRIBUICAO ENERGIA,EDP Espírito Santo Distribuição de Energia S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2025-10-09,
2026-09-20,Moody's,EDP SAO PAULO DISTRIBUICAO ENERGIA,EDP São Paulo Distribuição de Energia S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2025-10-09,
2026-09-20,Moody's,ELEKEIROZ,Elekeiroz S.A.,Rating de Emissor,A.br,Perspectiva negativa,2026-03-13,
2026-09-20,Moody's,ELETROPAULO METROPOLITANA ELETRICIDADE SAO PAULO,Eletropaulo Metropolitana de Eletricidade de São Paulo S.A. (Enel Distribuição São Paulo),Rating de Emissor,AA.br,Perspectiva negativa,2026-05-08,
2026-09-20,Moody's,EMPRESA AMAZONENSE TRANSMISSAO ENERGIA,Empresa Amazonense de Transmissão de Energia S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2025-12-02,
2026-09-20,Moody's,EMPRESA BAIANA AGUAS SANEAMENTO,Empresa Baiana de Águas e Saneamento S.A. - EMBASA,Rating Corporativo,AA.br,Perspectiva estável,2026-08-12,
2026-09-20,Moody's,EMPRESA CATARINENSE TRANSMISSAO ENERGIA,Empresa Catarinense de Transmissão de Energia S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2025-11-27,
2026-09-20,Moody's,EMPRESA NORTE TRANSMISSAO ENERGIA,Empresa Norte de Transmissão de Energia S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2025-11-27,
